Até que um dia essas cartas secretas são misteriosamente enviadas aos destinatários, e de uma hora para outra a vida amorosa de Lara Jean sai do papel e se transforma em algo que ela não pode mais controlar.
Um perfeito cavalheiro;Um Perfeito Cavalheiro (Os Bridgertons #3);Sophie sempre quis ir a um evento da sociedade londrina. Mas esse é um sonho impossível. Apesar de ser filha de um conde, é fruto de uma relação ilegítima e foi relegada ao papel de criada pela madrasta assim que o pai morreu. Uma noite, ela consegue entrar às escondidas no baile de máscaras de Lady Bridgerton. Lá, conhece o charmoso Benedict, filho da anfitriã, e se sente parte da realeza. No mesmo instante, uma faísca se acende entre eles. Infelizmente, o encantamento tem hora para acabar. À meia-noite, Sophie tem que sair correndo da festa e não revela sua identidade a Benedict. No dia seguinte, enquanto ele procura sua dama misteriosa por toda a cidade, Sophie é expulsa de casa pela madrasta e precisa deixar Londres. O destino faz com que os dois só se reencontrem três anos depois, Benedict a salva das garras de um bêbado violento, mas, para decepção de Sophie, não a reconhece nos trajes de criada. No entanto, logo se apaixona por ela de novo. Como é inaceitável que um homem de sua posição se case com uma serviçal, ele lhe propõe que seja sua amante, o que para Sophie é inconcebível. Agora os dois precisarão lutar contra o que sentem um pelo outro ou reconsiderar as próprias crenças para terem a chance de viver um amor de conto de fadas. Nesta deliciosa releitura de Cinderela, Julia Quinn comprova mais uma vez seu talento como escritora romântica.
O Homem de Giz;O Homem de Giz;Assassinato e sinais misteriosos em uma trama para fãs de Stranger Things e Stephen King.

Em 1986, Eddie e os amigos passam a maior parte dos dias andando de bicicleta pela pacata vizinhança em busca de aventuras. Os desenhos a giz são seu código secreto: homenzinhos rabiscados no asfalto mensagens que só eles entendem. Mas um desenho misterioso leva o grupo de crianças até um corpo desmembrado e espalhado em um bosque. Depois disso, nada mais é como antes.
Em 2016, Eddie se esforça para superar o passado, até que um dia ele e os amigos de infância recebem um mesmo aviso: o desenho de um homem de giz enforcado. Quando um dos amigos aparece morto, Eddie tem certeza de que precisa descobrir o que de fato aconteceu trinta anos atrás.
Alternando habilidosamente entre presente e passado, O Homem de Giz traz o melhor do suspense: personagens maravilhosamente construídos, mistérios de prender o fôlego e reviravoltas que vão impressionar até os leitores mais escaldados.
Os segredos de Colin Bridgerton;Os Segredos de Colin Bridgerton (Os Bridgertons #4);Há muitos anos Penelope Featherington frequenta a casa dos Bridgertons. E há muitos anos alimenta uma paixão secreta por Colin, irmão de sua melhor amiga e um dos solteiros mais encantadores e arredios de Londres.
Quando ele retorna de uma de suas longas viagens ao exterior, Penelope descobre seu maior segredo por acaso e chega à conclusão de que tudo o que pensava sobre seu objeto de desejo talvez não seja verdade.
Ele, por sua vez, também tem uma surpresa: Penelope se transformou, de uma jovem sem graça ignorada por toda a alta sociedade, numa mulher dona de um senso de humor afiado e de uma beleza incomum.
Ao deparar com tamanha mudança, Colin, que sempre a enxergara apenas como uma divertida companhia ocasional, começa a querer passar cada vez mais tempo a seu lado. Quando os dois trocam o primeiro beijo, ele não entende como nunca pôde ver o que sempre esteve bem à sua frente.
No entanto, quando fica sabendo que ela guarda um segredo ainda maior que o seu, precisa decidir se Penelope é sua maior ameaça ou a promessa de um final feliz.

Em "Os segredos de Colin Bridgerton", quarto livro da série Os Bridgertons, que já vendeu mais de 3,5 milhões de exemplares, Julia Quinn constrói uma linda história que prova que de uma longa amizade pode nascer o amor mais profundo.
Flores Para Algernon;Flores para Algernon;Aos 32 anos, Charlie trabalha na padaria Donners, ganha 11 dólares por semana e tem 68 de QI. Porém, uma cirurgia revolucionária promete aumentar a sua inteligência, considerada gravemente baixa. O problema? Enxergar o mundo com outros olhos e mente pode trazer sacrifícios para a sua própria realidade. E resta saber se Charlie Gordon está disposto a fazê-los.

Drama / Ficção científica / Literatura Estrangeira
Para Sir Phillip, com amor;Para Sir Phillip, Com Amor (Os Bridgertons #5);Eloise Bridgerton é uma jovem simpática e extrovertida, cuja forma preferida de comunicação sempre foram as cartas, nas quais sua personalidade se torna ainda mais cativante. Quando uma prima distante morre, ela decide escrever para o viúvo e oferecer as condolências.
Ao ser surpreendido por um gesto tão amável vindo de uma desconhecida, Sir Phillip resolve retribuir a atenção e responder. Assim, os dois começam uma instigante troca de correspondências. Ele logo descobre que Eloise, além de uma solteirona que nunca encontrou o par perfeito, é uma confidente de rara inteligência. E ela fica sabendo que Sir Phillip é um cavalheiro honrado que quer encontrar uma esposa para ajudá-lo na criação de seus dois filhos órfãos.
Após alguns meses, uma das cartas traz uma proposta peculiar: o que Eloise acharia de passar uma temporada com Sir Phillip para os dois se conhecerem melhor e, caso se deem bem, pensarem em se casar?
Ela aceita o convite, mas em pouco tempo eles se dão conta de que, ao vivo, não são bem como imaginaram. Ela é voluntariosa e não para de falar, e ele é temperamental e rude, com um comportamento bem diferente dos homens da alta sociedade londrina. Apesar disso, nos raros momentos em que Eloise fecha a boca, Phillip só pensa em beijá-la. E cada vez que ele sorri, o resto do mundo desaparece e ela só quer se jogar em seus braços.
Agora os dois precisam descobrir se, mesmo com todas as suas imperfeições, foram feitos um para o outro.
O conde enfeitiçado;O Conde Enfeitiçado (Os Bridgertons #6);Toda vida tem um divisor de águas, um momento súbito, empolgante e extraordinário que muda a pessoa para sempre. Para Michael Stirling, esse instante ocorreu na primeira vez em que pôs os olhos em Francesca Bridgerton.

Depois de anos colecionando conquistas amorosas sem nunca entregar seu coração, o libertino mais famoso de Londres enfim se apaixonou. Infelizmente, conheceu a mulher de seus sonhos no jantar de ensaio do casamento dela. Em 36 horas, Francesca se tornaria esposa do primo dele.

Mas isso foi no passado. Quatro anos depois, Francesca está livre, embora só pense em Michael como amigo e confidente. E ele não ousa falar com ela sobre seus sentimentos a culpa por amar a viúva de John, praticamente um irmão para ele, não permite.

Em um encontro inesperado, porém, Francesca começa a ver Michael de outro modo. Quando ela cai nos braços dele, a paixão e o desejo provam ser mais fortes do que a culpa. Agora o ex-devasso precisa convencê-la de que nenhum homem além dele a fará mais feliz.

No sexto livro da série Os Bridgertons, Julia Quinn mostra, em sua já consagrada escrita cheia de delicadezas, que a vida sempre nos reserva um final feliz. Basta que estejamos atentos para enxergá-lo.
Teto Para Dois;Teto Para Dois;Eles dividem um apartamento com uma cama só. Ele dorme de dia, ela, à noite. Os dois nunca se encontraram, mas estão prestes a descobrir que, para se sentir em casa, às vezes é preciso jogar as regras pela janela.

Três meses após o término do seu relacionamento, Tiffy finalmente sai do apartamento do ex-namorado. Agora ela precisa para ontem de um lugar barato para morar. Contrariando os amigos, ela topa um acordo bastante inusitado.

Leon está enrolado com questões financeiras e tem uma ideia pouco convencional para arranjar dinheiro rápido: sublocar seu apartamento, onde fica apenas no período da manhã e da tarde nos dias úteis, já que passa os finais de semana com a namorada e trabalha como enfermeiro no turno da noite. Só que tem um detalhe importante: o lugar tem apenas uma cama.

Sem nunca terem se encontrado pessoalmente, Leon e Tiffy fecham um contrato de seis meses e passam a resolver as trivialidades do dia a dia por Post-its espalhados pela casa. Mas será que essa solução aparentemente perfeita resiste a um ex-namorado obsessivo, uma namorada ciumenta, um irmão encrencado, dois empregos exigentes e alguns amigos superprotetores?
Amor & Gelato;Amor & Gelato;Depois da morte da mãe, Lina fica com a missão de realizar um último pedido: ir até a Itália para conhecer o pai. Do dia para a noite, ela se vê na famosa paisagem da Toscana, morando em uma casa localizada no mesmo terreno de um cemitério memorial de soldados americanos da Segunda Guerra Mundial, com um homem que nunca tinha ouvido falar. Apesar das belezas arquitetônicas, da história da cidade e das comidas maravilhosas, o que Lina mais quer é ir embora correndo dali.

Mas as coisas começam a mudar quando ela recebe um antigo diário da mãe. Nele, a menina embarca em uma misteriosa história de amor, que pode explicar suas próprias origens. No meio desse turbilhão de emoções, Lina ainda conhece Ren e Thomas, dois meninos lindos que vão mexer ainda mais com seu coração.

Uma trajetória que fará Lina descobrir o amor, a si mesma e também aprender a lidar com a perda. Amor & gelato é uma deliciosa viagem pelos mais românticos pontos turísticos italianos, com direito a tudo de mais intenso que o lugar tem a oferecer: desde paixões até corações partidos.
Um beijo inesquecível;Um Beijo Inesquecível (Os Bridgertons #7);Toda a alta sociedade concorda que não existe ninguém parecido com Hyacinth Bridgerton. Cruelmente inteligente e inesperadamente franca, ela já está em sua quarta temporada na vida social da elite, mas não consegue se impressionar com nenhum pretendente.

Num recital, Hyacinth conhece o belo e atraente Gareth St. Clair, neto de sua amiga Lady Danbury. Para sua surpresa, apesar da fama de libertino, ele é capaz de manter uma conversa adequada com ela e, às vezes, até deixá-la sem fala e com um frio na barriga.

Porém Hyacinth resiste à sedução do famoso conquistador. Para ela, cada palavra pronunciada por Gareth é um desafio que deve ser respondido à altura. Por isso, quando ele aparece na casa de Lady Danbury com um misterioso diário da avó italiana, ela resolve traduzir o texto, que pode conter segredos decisivos para o futuro dele.

Nessa tarefa, primeiro os dois se veem debatendo traduções, depois trocando confidências, até, por fim, quebrarem as regras sociais. E, ao passar o tempo juntos, eles vão descobrir que as respostas que buscam se encontram um no outro... e que não há nada de tão simples e de tão complicado quanto um beijo.
A cinco passos de você;A Cinco Passos de Você;Stella Grant gosta de estar no controle. Ela parece ser uma adolescente típica, mas em sua rotina há listas de tarefas e inúmeros remédios que ela deve tomar para controlar a fibrose cística, uma doença crônica que impede que seus pulmões funcionem como deveriam. Suas prioridades são manter seus pais felizes e conseguir um transplante – e uma coisa não existe sem a outra. Mas para ganhar pulmões novos, Stella precisa seguir seu tratamento à risca e eliminar qualquer chance de infecção, o que significa que ela não pode ficar a menos que dois metros de distância – ou seis passos – de outros pacientes com a doença.

O primeiro item é fácil para ela, mas o segundo pode se provar mais difícil do que ela esperava. O único controle que Will Newman deseja é o de sua própria vida. Ele não dá a mínima para o novo tratamento experimental para o qual foi selecionado e não aguenta mais a pressão de sua mãe para que melhore.

Prestes a completar dezoito anos, ele mal pode esperar para finalmente se livrar das máquinas e hospitais, usando o pouco de vida que ainda lhe resta para conhecer o mundo. Stella e Will são muito diferentes.

Ao mesmo tempo, a doença que os une não é a única coisa que têm em comum. Eles têm que ficar a seis passos um do outro, mas, conforme a conexão entre os dois aumenta, a vontade de burlar a distância física parece insuportável. Um grande amor vale um passo roubado?
A caminho do altar;A Caminho do Altar (Os Bridgertons #8);Ao contrário da maioria de seus amigos, Gregory Bridgerton sempre acreditou no amor. Não podia ser diferente: seus pais se adoravam e seus sete irmãos se casaram apaixonados. Por isso, o jovem tem certeza de que também encontrará a mulher que foi feita para ele e que a reconhecerá assim que a vir. E é exatamente isso que acontece.

O problema é que Hermione Watson está encantada por outro homem e não lhe dá a menor atenção. Para sorte de Gregory, porém, Lucinda Abernathy considera o pretendente da melhor amiga um péssimo partido e se oferece para ajudar o romântico Bridgerton a conquistá-la.

Mas tudo começa a mudar quando quem se apaixona por ele é Lucy, que já foi prometida pelo tio a um homem que mal conhece. Agora, será que Gregory perceberá a tempo que ela, com seu humor inteligente e seu sorriso luminoso, é a mulher ideal para ele?

A caminho do altar, oitavo livro da série Os Bridgertons, é uma história sobre encontros, desencontros e esperança no amor. De forma leve e revigorante, Julia Quinn nos mostra que tudo o que imaginamos sobre paixão à primeira vista é verdade – só precisamos saber onde buscá-la.
E viveram felizes para sempre;E Viveram Felizes Para Sempre (Os Bridgertons #9);Alguns finais são apenas o começo...

Era uma vez uma família criada por uma autora de romances históricos...

Mas não era uma família comum. Oito irmãos e irmãs, seus maridos e esposas, filhos e filhas, sobrinhas e sobrinhos, além de uma irresistível matriarca. Esses são os Bridgertons: mais que uma família, uma força da natureza.

Ao longo de oito romances que foram sucesso de vendas, os leitores riram, choraram e se apaixonaram. Só que eles queriam mais. Então começaram a questionar a autora: O que aconteceu depois? Simon leu as cartas deixadas pelo pai? Francesca e Michael tiveram filhos? O que foi feito dos terríveis enteados de Eloise? Hyacinth finalmente encontrou os diamantes?

A última página de um livro realmente tem que ser o fim da história? Julia Quinn acha que não e, em E viveram felizes para sempre, oferece oito epílogos extras, todos sensuais, engraçados e reconfortantes, e responde aos anseios dos leitores trazendo, ainda, um drama inesperado, um final feliz para um personagem muito merecedor e um delicioso conto no qual ficamos conhecendo melhor ninguém menos que a sábia e espirituosa matriarca Violet Bridgerton.
Veja como tudo começou e descubra o que veio depois do fim desta série que encantou leitores no mundo inteiro.
Sol da meia-noite:;Sol da Meia-Noite (Crepúsculo #5);Aguardado há mais de uma década, Sol da meia-noite, novo livro do universo de Crepúsculo, chega ao Brasil em lançamento mundial no dia 4 de agosto

Um dos maiores fenômenos editoriais dos últimos tempos, a saga Crepúsculo narra a icônica história de amor de Bella Swan, uma garota tímida e desastrada, que acaba de mudar de cidade, e Edward Cullen, um rapaz misterioso que esconde um segredo aterrorizante: é um vampiro. Desde a primeira troca de olhares, ele fez tudo para ficar longe dela, mas e se as coisas não tiverem acontecido exatamente assim?

Até agora, os leitores conheceram essa trama inesquecível apenas pelos olhos de Bella. No aguardado Sol da meia-noite, vamos testemunhar o nascimento desse amor pelo olhar de Edward, mergulhando em um universo novo, sombrio e surpreendente, cheio de revelações.

Conhecer Bella foi o que aconteceu de mais irritante e instigante em todos os anos de Edward como vampiro. À medida que conhecemos detalhes sobre seu passado e a complexidade de seus pensamentos, conseguimos entender por que Bella se tornou o eixo central de uma batalha decisiva em sua vida. Como Edward poderia seguir seu coração se isso significava colocar a amada em perigo? Do que ele seria capaz de abrir mão?

Em Sol da meia-noite, Stephenie Meyer faz um retorno triunfal ao universo de Crepúsculo e nos transporta mais uma vez para Forks, convidando-nos a revisitar cada detalhe dessa história que conquistou milhões de fãs em todo o mundo. Em meio a uma paixão cercada de perigos sobrenaturais, vamos descobrir como Edward encara seus prazeres mais profundos e as consequências devastadoras de um amor proibido e imortal.
Orgulho e preconceito;Orgulho e Preconceito;Na Inglaterra do final do século XVIII, as possibilidades de ascensão social eram limitadas para uma mulher sem dote. Elizabeth Bennet, de vinte anos, uma das cinco filhas de um espirituoso, mas imprudente senhor, no entanto, é um novo tipo de heroína, que não precisará de estereótipos femininos para conquistar o nobre Fitzwilliam Darcy e defender suas posições com perfeita lucidez de uma filósofa liberal da província. Lizzy é uma espécie de Cinderela esclarecida, iluminista, protofeminista. Neste livro, Jane Austen faz também uma crítica à futilidade das mulheres na voz dessa admirável heroína — recompensada, ao final, com uma felicidade que não lhe parecia possível na classe em que nasceu.
Me Chame Pelo Seu Nome;Me Chame Pelo Seu Nome;Livro que inspirou o filme dirigido por Luca Guadagnino, aclamado nos festivais de Berlim, Toronto, do Rio, no Sundance e um dos principais candidatos ao Oscar de 2018.

A casa onde Elio passa os verões é um verdadeiro paraíso na costa italiana, parada certa de amigos, vizinhos, artistas e intelectuais de todos os lugares. Filho de um importante professor universitário, o jovem está bastante acostumado à rotina de, a cada verão, hospedar por seis semanas na villa da família um novo escritor que, em troca da boa acolhida, ajuda seu pai com correspondências e papeladas. Uma cobiçada residência literária que já atraiu muitos nomes, mas nenhum deles como Oliver.

Elio imediatamente, e sem perceber, se encanta pelo americano de vinte e quatro anos, espontâneo e atraente, que aproveita a temporada para trabalhar em seu manuscrito sobre Heráclito e, sobretudo, desfrutar do verão mediterrâneo. Da antipatia impaciente que parece atravessar o convívio inicial dos dois surge uma paixão que só aumenta à medida que o instável e desconhecido terreno que os separa vai sendo vencido. Uma experiência inesquecível, que os marcará para o resto da vida.

Com rara sensibilidade, André Aciman constrói uma viva e sincera elegia à paixão, em um romance no qual se reconhecem as mais delicadas e brutais emoções da juventude. Uma narrativa magnética, inquieta e profundamente tocante.
Auto da compadecida;Auto da Compadecida;O "Auto da Compadecida" consegue o equilíbrio perfeito entre a tradição popular e a elaboração literária ao recriar para o teatro episódios registrados na tradição popular do cordel. É uma peça teatral em forma de Auto em 3 atos, escrita em 1955 pelo autor paraibano Ariano Suassuna. Sendo um drama do Nordeste brasileiro, mescla elementos como a tradição da literatura de cordel, a comédia, traços do barroco católico brasileiro e, ainda, cultura popular e tradições religiosas. Apresenta na escrita traços de linguagem oral [demonstrando, na fala do personagem, sua classe social] e apresenta também regionalismos relativos ao Nordeste. Esta peça projetou Suassuna em todo o país e foi considerada, em 1962, por Sábato Magaldi "o texto mais popular do moderno teatro brasileiro".
Os Segredos Que Guardamos;Os segredos que guardamos;Inspirado em uma missão real da CIA durante a Guerra Fria, Os segredos que guardamos mostra, de maneira romanceada, como a Agência de Inteligência americana apostou em Doutor Jivago, uma das obras-primas do século XX, para mostrar aos soviéticos o poder de mudança da literatura.

O plano era simples: imprimir no exterior Doutor Jivago em russo e contrabandear exemplares da obra que teve sua publicação proibida na União Soviética por ir contra a ideologia do Estado. Para tanto, a experiente e glamorosa espiã americana Sally Forrester deve treinar a novata Irina, uma simples datilógrafa da Agência, a fim de infiltrar o texto no país natal de seu autor, Boris Pasternak, vencedor do Prêmio Nobel com esta obra, porém obrigado por seu governo a rejeitá-lo.

Apesar de todo o potencial revolucionário, Doutor Jivago é também uma brilhante história de amor. A inspiração por trás de Lara, a icônica heroína da trama, é Olga Ivinskaia, musa de Pasternak. Os dois mantiveram um caso por décadas, uma relação intensa que sobreviveu à passagem do tempo, às ameaças de um regime autoritário e até aos anos de Olga em um gulag.

Assim, mulheres de ambos os lados da Cortina de Ferro protagonizam essa obra que mostra que, embora a história seja escrita pelos vencedores, é nos bastidores que o destino do mundo é forjado. Amantes, espiãs, datilógrafas. Fortes e corajosas, essas personagens ganham vida nessas páginas e são exemplos de que determinados segredos não devem ser guardados.
Todo esse tempo;Todo esse tempo;O emocionante novo romance das autoras do best-seller A cinco passos de você

É possível encontrar o amor verdadeiro depois de perder tudo?

Kyle e Kimberly são o casal perfeito. Pelo menos, é o que Kyle acha. Por isso, quando Kimberly termina com ele na noite da festa de formatura, o mundo inteiro do garoto vira de cabeça para baixo - literalmente. O carro deles capota após sofrerem um acidente e, quando Kyle acorda no hospital, descobre que teve uma lesão cerebral. Kimberly está morta. E ninguém consegue entender a sua dor.

Até ele conhecer Marley.

Marley também sofreu uma perda, uma perda que ela acredita ter sido culpa dela. Quando seus caminhos se cruzam, Kyle vê nela um espelho de tudo o que está sentindo. Conforme Kyle e Marley curam suas feridas, seus sentimentos um pelo outro ficam mais fortes. De uma tragédia, nasce um amor que parece predestinado.

Ainda assim, Kyle não consegue se livrar da sensação de que está caminhando rumo a outro desastre que vai explodir sua vida assim que ele começar a se recompor.

E ele está certo.
A Menina que Roubava Livros;A Menina que Roubava Livros;Ao perceber que a pequena Liesel Meminger, uma ladra de livros, lhe escapa, a Morte afeiçoa-se à menina e rastreia suas pegadas de 1939 a 1943. A mãe comunista, perseguida pelo nazismo, envia Liesel e o irmão para o subúrbio pobre de uma cidade alemã, onde um casal se dispõe a adotá-los por dinheiro. O garoto morre no trajeto e é enterrado por um coveiro que deixa cair um livro na neve. É o primeiro de uma série que a menina vai surrupiar ao longo dos anos. O único vínculo com a família é esta obra, que ela ainda não sabe ler. Assombrada por pesadelos, ela compensa o medo e a solidão das noites com a conivência do pai adotivo, um pintor de parede bonachão que lhe dá lições de leitura. Alfabetizada sob vistas grossas da madrasta, Liesel canaliza urgências para a literatura. Em tempos de livros incendiados, ela os furta, ou os lê na biblioteca do prefeito da cidade. A vida ao redor é a pseudo-realidade criada em torno do culto a Hitler na Segunda Guerra. Ela assiste à eufórica celebração do aniversário do Führer pela vizinhança. Teme a dona da loja da esquina, colaboradora do Terceiro Reich. Faz amizade com um garoto obrigado a integrar a Juventude Hitlerista. E ajuda o pai a esconder no porão um judeu que escreve livros artesanais para contar a sua parte naquela História.
Terra sonâmbula;Terra Sonâmbula;Um ônibus incendiado em uma estrada poeirenta serve de abrigo ao velho Tuahir e ao menino Muidinga, em fuga da guerra civil devastadora que grassa por toda parte em Moçambique. Como se sabe, depois de dez anos de guerra anticolonial (1965-1975), o país do sudeste africano viu-se às voltas com um longo e sangrento conflito interno que se estendeu de 1976 a 1992.
O veículo está cheio de corpos carbonizados. Mas há também um outro corpo à beira da estrada, junto a uma mala que abriga os “cadernos de Kindzu”, o longo diário do morto em questão. A partir daí, duas histórias são narradas paralelamente: a viagem de Tuahir e Muidinga e, em flashback,o percurso de Kindzu em busca dos naparamas, guerreiros tradicionais, abençoados pelos feiticeiros, que são, aos olhos do garoto, a única esperança contra os senhores da guerra.

"Terra Sonâmbula" – considerado por júri especial da Feira do Livro de Zimbabwe um dos doze melhores livros africanos do século XX e agora reeditado no Brasil pela Companhia das Letras – é um romance em abismo, escrito numa prosa poética que remete a Guimarães Rosa.
Couto se vale também de recursos do realismo mágico e da arte narrativa tradicional africana para compor esta bela fábula.
Romanceiro da Inconfidência;Romanceiro da Inconfidência;Em 'Romanceiro da Inconfidência', Cecília Meireles lança mão de uma das mais primitivas formas de literatura para contar a história da Inconfidência Mineira. Como bem define Ana Maria Machado, que assina a apresentação desta edição, o gênero épico nasceu antes mesmo da escrita. Era criado para ser cantado e transmitido oralmente de geração em geração. Inspirada pelo Romanceiro cigano, de Federico García Lorca, Cecília Meireles usou diversas formas e métricas poéticas para escrever os quase cem poemas que compõem o livro. Por ele desfilam personagens históricos que fizeram parte da Inconfidência, como, obviamente, Tiradentes, Tomás Antônio Gonzaga, Cláudio Manuel da Costa e Joaquim Silvério entre outros, que, embora não tenham tomado parte direta no episódio histórico, são figuras destacadas na história das Minas Gerais, como Chico Rei e Chica da Silva. Além do texto de apresentação de Ana Maria Machado, esta edição resgata a transcrição de uma conferência que Cecília Meireles deu na cidade de Ouro Preto, em 1955, intitulada "Como escrevi o Romanceiro da Inconfidência."
É Assim que Acaba;É Assim Que Acaba;Um romance sobre a força necessária para fazer as escolhas corretas nas situações mais difíceis. Da autora das séries Slammed e Hopeless.

Lily nem sempre teve uma vida fácil, mas isso nunca a impediu de trabalhar arduamente para conquistar a vida tão sonhada. Ela percorreu um longo caminho desde a infância, em uma cidadezinha no Maine: se formou em marketing, mudou para Boston e abriu a própria loja. Então, quando se sente atraída por um lindo neurocirurgião chamado Ryle Kincaid, tudo parece perfeito demais para ser verdade. Ryle é confiante, teimoso, talvez até um pouco arrogante. Ele também é sensível, brilhante e se sente atraído por Lily. Porém, sua grande aversão a relacionamentos é perturbadora. Além de estar sobrecarregada com as questões sobre seu novo relacionamento, Lily não consegue tirar Atlas Corrigan da cabeça — seu primeiro amor e a ligação com o passado que ela deixou para trás. Ele era seu protetor, alguém com quem tinha grande afinidade. Quando Atlas reaparece de repente, tudo que Lily construiu com Ryle fica em risco. Com um livro ousado e extremamente pessoal, Colleen Hoover conta uma história arrasadora, mas também inovadora, que não tem medo de discutir temas como abuso e violência doméstica. Uma narrativa inesquecível sobre um amor que custa caro demais.

EDIÇÃO COM PÔSTER + MARCADOR
Drácula;Drácula;Drácula, é uma história de vampiros e lobisomens de criaturas que estando mortas permanecem vivas. É também uma história de pessoas corajosas que se lançam à destruição de uma insólita e maléfica ameaça. Como quer que seja, permanece intacta nestas páginas a mesma emoção de milhões de leitores e espectadores que penetraram na história que se inicia num castelo desolado nas sombrias florestas da Transilvânia. Lá, um jovem inglês é mantido em cativeiro, à espera de um destino terrível. Longe dele, sua noiva bela e jovem é atacada por uma doença misteriosa que parece extrair o sangue de suas veias. Por trás de tudo, a força sinistra que ameaça suas vidas: Conde Drácula, o vampiro vindo do fundo dos séculos.
A Troca;A Troca;Leena Cotton tem 29 anos e sente que já não é mais a mesma. Eileen Cotton tem 79 e está em busca de um novo amor. Tudo de que neta e avó precisam no momento é pôr em prática uma mudança radical. Então, para colocar suas respectivas vidas de volta nos trilhos, as duas têm uma ideia inusitada: trocar de lugar uma com a outra.

Leena sabe que precisa descansar, mas imagina que a parte mais difícil será se adaptar à calmaria da cidadezinha onde a avó mora. Cadastrada em um site de relacionamentos, Eileen por sua vez embarca na aventura com a qual sonha desde a juventude. Dividindo o apartamento com dois amigos da neta, ela logo percebe que na cidade grande suas ideias mirabolantes não são tão complicadas assim.

Ao trocar não só de casas, mas de celulares e computadores, de amigos e rotinas, Leena e Eileen vão descobrir muito mais sobre si mesmas do que imaginam. E se tudo der certo, talvez destrocar não seja a melhor solução.
Todas as suas;Todas as Suas (Im)Perfeições;Uma história de amor perfeita é suficiente para manter vivo o casamento entre duas pessoas imperfeitas?

O acaso uniu Quinn e Graham duas vezes. A primeira delas, no que consideraram o pior dia de suas vidas, quando ela descobriu às vésperas do casamento que estava sendo traída pelo noivo e ele, pela namorada que pretendia pedir em casamento. A segunda, meses depois, em meio a encontros ruins.

Deste reencontro surgiu um amor profundo e um relacionamento perfeito... ou talvez nem tanto. Com o passar dos anos e a frustração por não conseguirem ter filhos, Quinn e Graham acumularam silêncios e desconfianças. O casal se encontra no centro de um furacão, e seu futuro depende das promessas feitas quando o casamento ainda parecia uma praia paradisíaca.

EDIÇÃO COM MARCADOR
A Cachorra;A cachorra;Desde muito cedo, a vida de Damaris é marcada por tragédias e, apesar da companhia de Rogelio, carrega uma solidão que talvez tivesse sido aplacada pelo filho que nunca conseguiu ter. Cuidar da casa de veraneio há muito abandonada pela família Reyes ocupa seus dias, alivia sua consciência pelo que sente ter sido omissão sua no passado, mas nada disso lhe traz conforto.

Quando, num rompante, decide adotar a cachorra da ninhada de uma vizinha, Damaris tem a chance de desviar um pouco o foco das tentativas frustradas de engravidar. A fêmea que agora circula pela casa modesta faz aflorar instintos protetores e violentos, emoções díspares e profundas que supostamente só poderiam ser despertadas pela maternidade. A força e a intensidade dessa relação alteram tão drasticamente as dinâmicas de sua existência que Damaris já não sabe se a simples presença da cachorra fez sua vida ganhar ou perder, de uma vez por todas, o rumo.

